# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_WITHIN_SAME_TREE -1666 4 11 2065 449844 3 ./node_modules/use-callback-ref/dist/es2015/types.js
DUPTYPE_WITHIN_SAME_TREE -1666 6 11 2065 467590 3 ./node_modules/next/dist/server/future/route-matcher-providers/pages-route-matcher-provider.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 6 11 2065 467223 3 ./node_modules/next/dist/server/future/helpers/i18n-provider.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 4 11 2065 449855 3 ./node_modules/use-callback-ref/dist/es2019/types.js
DUPTYPE_WITHIN_SAME_TREE -1666 7 11 2065 460893 3 ./node_modules/.next-TqhSVffh/dist/server/future/route-matcher-providers/dev/dev-pages-route-matcher-provider.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 6 11 2065 437925 3 ./node_modules/.next-TqhSVffh/dist/server/future/route-matcher-providers/pages-route-matcher-provider.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 6 11 2065 437940 3 ./node_modules/.next-TqhSVffh/dist/lib/metadata/resolvers/resolve-url.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 6 11 2065 467740 3 ./node_modules/next/dist/lib/metadata/resolvers/resolve-url.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 4 11 2065 467968 3 ./node_modules/next/dist/client/webpack.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 6 11 2065 467738 3 ./node_modules/next/dist/lib/metadata/resolvers/resolve-title.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 4 11 2065 449919 3 ./node_modules/use-sidecar/dist/es2015/types.js
DUPTYPE_WITHIN_SAME_TREE -1666 7 11 2065 467735 3 ./node_modules/next/dist/build/webpack/loaders/metadata/resolve-route-data.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 6 11 2065 467732 3 ./node_modules/next/dist/lib/metadata/resolvers/resolve-opengraph.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 7 11 2065 460037 3 ./node_modules/.next-TqhSVffh/dist/shared/lib/router/utils/app-paths.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 5 11 2065 467730 3 ./node_modules/next/dist/lib/metadata/resolve-metadata.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 7 11 2065 467001 3 ./node_modules/next/dist/server/future/route-matcher-providers/dev/dev-pages-route-matcher-provider.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 5 11 2065 467605 3 ./node_modules/next/dist/server/dev/parse-version-info.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 7 11 2065 466999 3 ./node_modules/next/dist/server/future/route-matcher-providers/dev/dev-pages-api-route-matcher-provider.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 4 11 2065 449929 3 ./node_modules/use-sidecar/dist/es2019/types.js
DUPTYPE_WITHIN_SAME_TREE -1666 5 11 2065 440235 3 ./node_modules/.next-TqhSVffh/dist/server/lib/to-route.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 5 11 2065 464828 3 ./node_modules/.next-TqhSVffh/dist/client/components/navigation.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 8 11 2065 460992 3 ./node_modules/.next-TqhSVffh/dist/compiled/@next/font/dist/local/validate-local-font-function-call.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 5 11 2065 464680 3 ./node_modules/.next-TqhSVffh/dist/server/lib/mock-request.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 6 11 2065 467357 3 ./node_modules/next/dist/client/components/router-reducer/is-navigating-to-new-root-layout.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 5 11 2065 464321 3 ./node_modules/.next-TqhSVffh/dist/shared/lib/get-hostname.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 5 11 2065 440242 3 ./node_modules/.next-TqhSVffh/dist/server/web/utils.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 4 11 2065 464614 3 ./node_modules/.next-TqhSVffh/dist/server/load-manifest.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 6 11 2065 464587 3 ./node_modules/.next-TqhSVffh/dist/client/components/router-reducer/is-navigating-to-new-root-layout.test.d.ts
DUPTYPE_WITHIN_SAME_TREE -1666 7 11 2065 467862 3 ./node_modules/next/dist/server/future/normalizers/request/suffix.test.d.ts
